,Degree Centrality,Weighted Degree Centrality,Betweenness Centrality,Closeness Centrality,Eigenvector Centrality,PageRank
Harry Potter,0.7005649717514124,10019,0.34673017873436635,0.7515128688010043,0.2738125115746717,0.19531205589398035
Ronald Weasley,0.5141242937853108,5173,0.13010854575976782,0.6528586698078224,0.24630599516615212,0.09466026526994309
Hermione Granger,0.4406779661016949,3959,0.056317596111448834,0.6104346407228375,0.23491441246461883,0.0704912070780327
Albus Dumbledore,0.3446327683615819,1830,0.05728251044121931,0.5810666511347972,0.20282970820428115,0.036062774963165
Cedric Diggory,0.2542372881355932,890,0.01551808317640261,0.5454528886458904,0.17024175327832666,0.017856814665987417
Alastor Moody,0.2768361581920904,1100,0.02575342691438533,0.5472181083502459,0.18286873699687053,0.021661636787159416
Rubeus Hagrid,0.2937853107344633,1149,0.02072267779341444,0.5636346516007533,0.19021692066139892,0.021292226422274897
Fred Weasley,0.2598870056497175,978,0.04053108246090921,0.531730803396937,0.16049705284693594,0.019555103425758516
George Weasley,0.23163841807909605,853,0.018737406099987492,0.5234996764093683,0.15313789267896422,0.016567401614243582
Sirius Black,0.23163841807909605,653,0.017554028622976968,0.531730803396937,0.15933466231360638,0.012752099711943974
Tom Riddle,0.21468926553672316,550,0.0360900068351381,0.5218839366673642,0.13460927727366137,0.013402978759135589
Severus Snape,0.23728813559322035,813,0.031227725316035737,0.5334081876347824,0.14529143386261723,0.017391228270047535
Bartemius Crouch Senior,0.2768361581920904,1169,0.03988548105217689,0.5454528886458904,0.1765607184651766,0.023996306347929156
Viktor Krum,0.23163841807909605,769,0.018070563941211797,0.5334081876347824,0.15397158072601122,0.015780832848756227
Ludovic Bagman,0.2994350282485876,569,0.05249924113341708,0.5525829917654443,0.1740957696371085,0.013194239586079015
Dobby,0.10734463276836158,264,0.0013408105909986049,0.47364256437038094,0.08301759942147047,0.0053390043418619785
Vernon Dursley,0.0847457627118644,294,0.0004893215953837546,0.47364256437038094,0.06300522993155165,0.005901322273240047
Rita Skeeter,0.1807909604519774,398,0.004560761710446466,0.5139525698487113,0.1414206795186015,0.008093701925967218
Draco Malfoy,0.1807909604519774,491,0.00868300364991803,0.5093084201211626,0.13496658004750295,0.010123086580489014
Winky,0.096045197740113,475,0.00033659991001238265,0.47765648440741804,0.08751021922721477,0.009008487541529067
Molly Weasley,0.20903954802259886,445,0.011506649671696772,0.5218839366673642,0.15009268899137027,0.009369393936748202
Fleur Delacour,0.14689265536723164,322,0.0019869355537670413,0.49297491393651893,0.11870721296876412,0.006958840684668632
Hedwig,0.0847457627118644,169,0.0006494141738340568,0.46969554300062777,0.0730620922442616,0.0037155167794345025
Igor Karkaroff,0.1751412429378531,468,0.015081794976275431,0.5139525698487113,0.13122548476505969,0.010181249771271137
Sybill Trelawney,0.06214689265536723,159,0.0002918133804409804,0.45700106886547565,0.0549423033596046,0.0035459295549522124
Cho Chang,0.11864406779661017,214,0.0032421206761772486,0.47900961892415295,0.07915411611940791,0.005110718711816742
Neville Longbottom,0.1694915254237288,318,0.006675891575040272,0.5032452246435297,0.11553525558668838,0.007109267273042386
Minerva McGonagall,0.192090395480226,359,0.0065770149797629235,0.5267613566362179,0.14752316111675298,0.007491537057510699
Cornelius Fudge,0.1977401129943503,362,0.02592130755666477,0.5139525698487113,0.13567549322520733,0.009293271005036343
Argus Filch,0.06779661016949153,202,0.0010848055712117833,0.46453405351710436,0.058690036696531,0.0053432212961214386
Olympe Maxime,0.13559322033898305,303,0.000991106976981242,0.49732469258889994,0.1207083582431394,0.005946331715166389
Godric Gryffindor,0.21468926553672316,250,0.022734738061768952,0.5202781399391568,0.13743049288632145,0.007073377198380925
William Weasley,0.14689265536723164,340,0.002581294748971314,0.5032452246435297,0.11926778029820251,0.0069771091612616225
Gregory Goyle,0.1016949152542373,216,0.0013050642637163889,0.47231954044755864,0.08659983055087767,0.005227494810546584
Vincent Crabbe,0.096045197740113,204,0.0011425646726084006,0.4683944473136454,0.08198456456745375,0.00488606190882504
Dudley Dursley,0.03954802259887005,193,5.434184459608188e-05,0.452113356899,0.035036977629604595,0.004263733027694631
Percy Weasley,0.1977401129943503,316,0.009068520722313572,0.5186821947246196,0.14302555070536668,0.007189952640449501
Amos Diggory,0.0903954802259887,137,0.0023733181626424287,0.4710038871315487,0.06927277210511197,0.0036234536579305334
Ginevra Weasley,0.12429378531073446,225,0.000834780520214173,0.49154184732623835,0.1063498947328539,0.004713347072876277
Petunia Dursley,0.04519774011299435,149,0.0003105408923281393,0.4545440738715752,0.036585928524402234,0.003506201931499355
Pigwidgeon,0.1016949152542373,133,0.0034272008219776396,0.47631097318373516,0.07580079491303235,0.004016710761726997
Prime Minister,0.06779661016949153,100,0.0030768804925923863,0.4632613574800712,0.05828741022622492,0.0033356064140677376
Barry Ryan,0.11864406779661017,100,0.009637058776076637,0.48311541565778854,0.07929704283254171,0.0034459809723136853
Buckbeak,0.06779661016949153,145,0.0004679266631030737,0.4710038871315487,0.06024364080256652,0.003332062320003091
Colin Creevey,0.05649717514124294,64,0.005865895733576603,0.46453405351710436,0.050160407116462954,0.0028435532024416493
Charles Weasley,0.0790960451977401,163,0.0002022055610068225,0.47364256437038094,0.07739985122858696,0.0036763689674490516
Parvati Patil,0.096045197740113,106,0.0009426664173381919,0.4683944473136454,0.07192138353081026,0.003010444163509567
Myrtle Warren,0.02824858757062147,59,0.007639281818307242,0.4403395715630885,0.023004838566377098,0.003178167623287497
Dean Thomas,0.10734463276836158,138,0.0012229759732317845,0.4607367724256839,0.08101624593980293,0.0035888411505785377
Seamus Finnigan,0.11299435028248588,162,0.0009145190304026995,0.4683944473136454,0.08333740457734767,0.003968020101230376
Poppy Pomfrey,0.12429378531073446,99,0.006342529247446725,0.4858919410351321,0.10083725449115842,0.002898334500218464
Peeves,0.05649717514124294,73,0.011272704866244904,0.4497084986176223,0.04175476942166475,0.003097814709063738
Angelina Johnson,0.05084745762711865,67,0.0026159207081878784,0.45090772128060264,0.04102816290148781,0.0026518856882053366
Father Christmas,0.12429378531073446,88,0.001825013872611501,0.4887005649717514,0.09910896763260442,0.0025270634852096983
Padma Patil,0.05649717514124294,61,0.00012005163214416962,0.4545440738715752,0.05001924609403226,0.0019435293213342867
Garrick Ollivander,0.05649717514124294,53,0.011183837705409358,0.4533254570515442,0.048760559613100454,0.002473791378853914
Fang,0.04519774011299435,58,0.0,0.4557692600545175,0.05299075575062512,0.0017840358390177004
Salazar Slytherin,0.11864406779661017,72,0.001954957029853672,0.48311541565778854,0.0911768989777209,0.0025256488243010572
Lee Jordan,0.05649717514124294,79,1.1024471733254476e-05,0.4632613574800712,0.06170235683227205,0.0022389619924426756
Fat Lady,0.05084745762711865,41,0.0002310702744708059,0.45090772128060264,0.047543477342436066,0.0017978331381931223
Pansy Parkinson,0.06779661016949153,79,8.72987730669974e-05,0.4545440738715752,0.06167089504342133,0.0022633954775449785
Bertha Jorkins,0.10734463276836158,119,0.0011139560280177244,0.49732469258889994,0.09513109658323118,0.0031119013844251664
Blast-Ended Skrewt,0.01694915254237288,31,0.0,0.4280769505828506,0.020808841233945975,0.0013598829829395871
Roger Davies,0.05649717514124294,49,6.87835818806543e-05,0.4473290885720264,0.04428379310365288,0.0017474689263302008
Helga Hufflepuff,0.12994350282485875,88,0.01657141806663214,0.47900961892415295,0.07987308727120156,0.004345118343327963
Aidan Lynch,0.0790960451977401,52,0.0050396959994109215,0.4607367724256839,0.04821772197323649,0.00289878322477607
Crookshanks,0.03954802259887005,26,4.938564260598159e-06,0.44264501434614134,0.040587433715459746,0.0012586132774680112
Fawkes,0.01694915254237288,21,0.0,0.4346796798977532,0.02086481097684058,0.0011914021288775406
Mrs Norris,0.03389830508474576,33,5.533035437886104e-05,0.44497472494796314,0.027849441223271376,0.0015027242939096178
Lavender Brown,0.06214689265536723,48,0.00011219065051884771,0.4497084986176223,0.05199723711066794,0.0017854759614000706
Ivan Volkov,0.05084745762711865,28,0.00017084374496626197,0.3765933084192115,0.015676374371032285,0.0030349280294975447
Pyotr Vulchanov,0.04519774011299435,25,9.567028631553347e-05,0.37575643440050216,0.015302207524038675,0.002763489960798555
Lucius Malfoy,0.05649717514124294,51,0.00034990189252780265,0.4582395541469539,0.048083602061321416,0.0021453245362888914
Filius Flitwick,0.06214689265536723,56,4.3208695943672825e-05,0.4607367724256839,0.0649562722149686,0.0017886016698783563
Pomona Sprout,0.0790960451977401,40,0.0006915373930716047,0.4683944473136454,0.07152865541986178,0.0017013254968281624
Olive Hornby,0.01694915254237288,18,0.003555826039936209,0.4291634403051421,0.009773078762908883,0.0020677066305021946
Chudley Cannons,0.03389830508474576,22,1.5008104376363238e-05,0.4403395715630885,0.033142843235915855,0.0012186991973018996
Arthur Weasley,0.0847457627118644,60,0.0007780714345458645,0.4749730210118708,0.07434534607612946,0.0024204404967558524
Wendelin the Weird,0.03954802259887005,20,2.9891141216256783e-05,0.44614880073938257,0.04134811993452933,0.001176269299527937
Arnold Peasegood,0.022598870056497175,14,0.0,0.4414892832381879,0.02749113686652764,0.001067599937796237
Moran,0.0790960451977401,46,0.003814194008114349,0.4533254570515442,0.028454764224571213,0.004942119964781714
Mullet,0.06779661016949153,34,0.0026840979067230607,0.4485156378785835,0.02268798901057091,0.0037369556515185966
Troy,0.0790960451977401,39,0.003814194008114349,0.4533254570515442,0.028454764224571213,0.004017185630906549
Ernest Macmillan,0.05084745762711865,38,0.00027208353479539916,0.4485156378785835,0.041378353753615246,0.00232960187988863
Augustus Rookwood,0.02824858757062147,14,0.0,0.3987981025477028,0.026880143801305743,0.0011152087194518062
Frank Bryce,0.04519774011299435,21,0.011067272623512994,0.4485156378785835,0.03777201389945077,0.002252391021585258
Vasily Dimitrov,0.06214689265536723,27,0.0005488224780829411,0.36838866117696295,0.01609858539720023,0.003263567774521267
Nagini,0.005649717514124294,6,0.0,0.34090805540368146,0.004416248403832251,0.0009669742872677193
Dennis Creevey,0.05084745762711865,15,0.004786468539304918,0.4582395541469539,0.043666546136353394,0.001586292486792082
Dot,0.005649717514124294,5,0.0,0.3079970773774608,0.001239240093025987,0.001298532416955578
Violet,0.02824858757062147,14,1.4266963419505793e-05,0.4346796798977532,0.026671529420674613,0.001185402245481499
