,Degree Centrality,Weighted Degree Centrality,Betweenness Centrality,Closeness Centrality,Eigenvector Centrality,PageRank
Harry Potter,0.6694214876033058,3726,0.47453601094053766,0.7178838477539776,0.3408349079782979,0.20370729009151828
Ronald Weasley,0.4545454545454546,1982,0.11654758765372716,0.5735267696730146,0.29930634575844534,0.1025883667722154
Hermione Granger,0.30578512396694213,1559,0.03598077976770441,0.5198469242356389,0.25270454705716106,0.07636538022419812
Rubeus Hagrid,0.30578512396694213,1052,0.04229044972467624,0.5329743718173471,0.2453184155340498,0.05222226122397042
Severus Snape,0.21487603305785125,594,0.007432608224272757,0.4885598408325681,0.2162562660021195,0.029145486018516596
Albus Dumbledore,0.2727272727272727,466,0.054565261498454976,0.5172986549991898,0.22911045769996255,0.026813513196023986
Quirinus Quirrell,0.14049586776859505,312,0.003293728004471806,0.4568351758434403,0.16073477976530792,0.015735518074553978
Dudley Dursley,0.10743801652892562,256,0.0367533759475908,0.4588214157384118,0.0690910192122681,0.01796532785742963
Draco Malfoy,0.21487603305785125,428,0.05162230127637082,0.4908322121852777,0.19801611473458677,0.02475918139787131
Vernon Dursley,0.10743801652892562,265,0.05399131267416391,0.45097831461467824,0.06594045566793794,0.018447603857458937
Neville Longbottom,0.21487603305785125,316,0.021809632046323826,0.48407764045795737,0.19833440563307428,0.018120278052631625
Argus Filch,0.1487603305785124,207,0.002019682949435015,0.4648851348891397,0.16985278306372706,0.011067902313722015
Tom Riddle,0.14049586776859505,203,0.0050814321888702045,0.4608250027067018,0.14499987083405283,0.010972032600169873
Minerva McGonagall,0.2066115702479339,260,0.009155999178643294,0.48186724027321787,0.196809981189638,0.015120101811064431
Oliver Wood,0.1487603305785124,125,0.024757312007347182,0.4690174471992654,0.13659365607569357,0.010085851380765969
Petunia Dursley,0.10743801652892562,188,0.019266692903056545,0.44526972835373296,0.06591418211756038,0.013242505989007369
Fred Weasley,0.15702479338842976,168,0.018276193502874547,0.4669421487603306,0.16235243104524488,0.011540745405642969
George Weasley,0.1322314049586777,115,0.0021686771130902845,0.4588214157384118,0.1450061745600179,0.007804832198130914
Gregory Goyle,0.10743801652892562,103,0.0015846973072301217,0.4490592579567434,0.12879721076473308,0.0063124514414675354
Vincent Crabbe,0.08264462809917356,104,8.965538863448438e-05,0.4415436218403126,0.10662442419566301,0.006365704770399975
Nicolas Flamel,0.08264462809917356,99,0.015680565990483345,0.4378793594184013,0.10068961669048544,0.006839752178600632
Gringotts Head Goblin,0.11570247933884298,74,0.0024621907783064795,0.45291384386195155,0.13101271091769118,0.004872802917206882
Percy Weasley,0.1652892561983471,96,0.0040075902059373125,0.4648851348891397,0.17073173197179137,0.007122040245033402
Fluffy,0.09090909090909091,92,0.0011559788161027821,0.4397038567493113,0.11520072358933287,0.005489509363884435
Charles Weasley,0.10743801652892562,87,0.004428929245569473,0.4490592579567434,0.11959778139706197,0.006282060251753152
Piers Polkiss,0.05785123966942149,43,0.01387826016958248,0.43073030865238654,0.028986142747026336,0.004808301379787508
Peeves,0.09090909090909091,52,0.002367652299895858,0.4415436218403126,0.10887505595650127,0.005612059603085307
Hedwig,0.05785123966942149,32,7.76358627598297e-05,0.43073030865238654,0.08121049995140621,0.0027130697749645607
