,Degree Centrality,Weighted Degree Centrality,Betweenness Centrality,Closeness Centrality,Eigenvector Centrality,PageRank
Charity Burbage,0.0020964360587002098,1,0.0,0.42412768423550096,0.00412673807741724,0.0003167491674272105
Fawcett,0.006289308176100629,3,1.000026556425879e-06,0.3566377875240796,0.005304749925254385,0.0003269725965845045
Eric Whalley,0.0041928721174004195,2,0.0,0.27231068707913636,0.00017794446125316726,0.0005524855165482932
Uric the Oddball,0.0041928721174004195,2,0.0,0.32987708773872293,0.0020350267737536385,0.0003655187999334734
Norberta,0.0020964360587002098,1,0.0,0.3155346056631263,0.0009853548883615164,0.00031784041284636496
Ernest Prang,0.0041928721174004195,2,9.787283187209196e-07,0.34069272995966465,0.002852412922278737,0.00033290999990045166
Urg the Unclean,0.006289308176100629,3,0.0,0.3461087385358592,0.0050741316312028,0.00041305465342337573
Bowman Wright,0.0020964360587002098,1,0.0,0.3474237413418465,0.002689137754126032,0.0003172588150293276
Fubster,0.0041928721174004195,2,0.0,0.32611244194427247,0.0021878617779142865,0.00032155427873533846
Boa constrictor at the zoo,0.0020964360587002098,1,0.0,0.42412768423550096,0.00412673807741724,0.0003167491674272105
Gawain Robards,0.006289308176100629,3,0.0,0.42689976060305324,0.0072055623861936565,0.0003236410455629122
Bodrod the Bearded,0.008385744234800839,4,1.9780695729415512e-05,0.35224163605999226,0.007068759171618708,0.00043973994301338935
Bones family,0.0020964360587002098,1,0.0,0.42412768423550096,0.00412673807741724,0.0003167491674272105
Gamp,0.0020964360587002098,1,0.0,0.3884533930381223,0.0037813912894080525,0.00031658366582584547
Gregory the Smarmy,0.0041928721174004195,2,0.0,0.42769845051999067,0.00660295057040512,0.0003196860713959738
Caradoc Dearborn,0.0041928721174004195,2,2.3850856259291334e-06,0.3525132178919584,0.0033843377656475266,0.0003265679926361212
Bungy,0.0020964360587002098,1,0.0,0.0020964360587002098,3.0162896329338817e-19,0.0020920502092050207
Mary Dorkins,0.0020964360587002098,1,0.0,0.0020964360587002098,3.0162896329338817e-19,0.0020920502092050207
Phyllida Spore,0.0041928721174004195,2,0.004104786568715536,0.23726499408711468,1.0844364373765742e-05,0.0013789366804484613
Dexter Fortescue,0.0041928721174004195,2,1.7617109736976554e-06,0.31315729014100685,0.0010740598619380858,0.00034229868726636724
Owen Cauldwell,0.006289308176100629,3,1.2688955092132848e-05,0.32152576906179325,0.0019178424029245075,0.0004386485554794657
Demetrius Prod,0.0020964360587002098,1,0.0,0.0020964360587002098,3.0162896329338817e-19,0.0020920502092050207
Z. Nettles,0.0020964360587002098,1,0.0,0.0020964360587002098,3.0162896329338817e-19,0.0020920502092050207
Cuthbert Mockridge,0.0020964360587002098,1,0.0,0.0020964360587002098,3.0162896329338817e-19,0.0020920502092050207
