,Degree Centrality,Weighted Degree Centrality,Betweenness Centrality,Closeness Centrality,Eigenvector Centrality,PageRank
Harry Potter,0.7536945812807881,10576,0.3681401655902276,0.7697044334975369,0.3036753022817108,0.2072667240460118
Hermione Granger,0.5073891625615764,5324,0.0881681678072322,0.6295346165347266,0.2567874345293172,0.09654091215306183
Ronald Weasley,0.5763546798029556,4822,0.16309188508175468,0.6634489393110083,0.26809589362713676,0.08966904335568339
Tom Riddle,0.3842364532019705,1511,0.05195761038912908,0.5728032993470042,0.20754532437459738,0.030579954732282137
Albus Dumbledore,0.33497536945812806,1341,0.05371832229404851,0.5597850425436633,0.18531394169516496,0.02797771672690831
Rubeus Hagrid,0.22167487684729065,432,0.023003798127122634,0.5171767322188174,0.14703718996423784,0.010162549556757532
Ginevra Weasley,0.2315270935960591,579,0.009534175904656649,0.5268565106293301,0.16144657783255267,0.011720187761819809
Severus Snape,0.23645320197044334,804,0.045238513974318495,0.5325522566901878,0.13705486443736434,0.01950847367939822
Luna Lovegood,0.18719211822660098,573,0.006285386998852485,0.5039497058193593,0.12468237393975273,0.011426248917129742
Aberforth Dumbledore,0.22660098522167488,464,0.0162719285209421,0.5185377236193933,0.148448520294051,0.010265655878845825
Remus Lupin,0.2315270935960591,541,0.014767901294608567,0.5212813094586494,0.1594143077635654,0.011855167270150574
Griphook,0.11330049261083744,446,0.0015571049789735436,0.48413841517289796,0.09160864767035938,0.008645787344929556
Sirius Black,0.13793103448275862,342,0.002399548044879307,0.4950862687823353,0.1121501413891418,0.007038627368556522
Kreacher,0.08866995073891626,401,0.000522604792935137,0.47826294896934335,0.08178636841506437,0.007768662372794848
Lily J. Potter,0.15270935960591134,408,0.01463879171533314,0.5052418845522293,0.0989573162432293,0.010942732623650687
Molly Weasley,0.14285714285714285,378,0.011597862853916504,0.49016003725216284,0.11651107020225974,0.008337810412678108
Bathilda Bagshot,0.11330049261083744,229,0.012803696245798357,0.48059593896431574,0.07643467878122284,0.005626930711676007
Godric Gryffindor,0.2315270935960591,364,0.026051142696331197,0.5226640185023064,0.14054140828723752,0.00917450489797341
Ariana Dumbledore,0.11822660098522167,254,0.005255688391940487,0.47826294896934335,0.07735593824678626,0.006538625170346032
Dobby,0.06896551724137931,189,0.00011800437544651102,0.46915317851278443,0.07143677873561047,0.003949672215802904
Xenophilius Lovegood,0.08866995073891626,321,0.0014790300140149829,0.4748056264466734,0.07400594001307144,0.006512562951717954
Draco Malfoy,0.06896551724137931,246,0.00030882124110589954,0.4636337293538105,0.06291868294295092,0.005110115494458089
Fleur Delacour,0.2019704433497537,440,0.014962015982325353,0.5078462241633233,0.13759187591663405,0.009864764247901317
William Weasley,0.18719211822660098,416,0.005065746116231646,0.5001125253181966,0.1336507437616035,0.009069364026453986
Neville Longbottom,0.1625615763546798,273,0.004434423081390387,0.4988464176591632,0.11441031748286244,0.006065514842882508
Garrick Ollivander,0.10837438423645321,260,0.0007611302147912195,0.47826294896934335,0.0943833735026749,0.005246649454536503
Regulus Black,0.06403940886699508,225,0.00012806328814072922,0.4593108041383903,0.06074393700873619,0.004755428859543763
Fred Weasley,0.13793103448275862,348,0.002213275693799907,0.48295180141021926,0.10948673713840248,0.007511082346384119
