,Degree Centrality,Weighted Degree Centrality,Betweenness Centrality,Closeness Centrality,Eigenvector Centrality,PageRank
Harry Potter,0.7999999999999999,4925,0.3612365132570667,0.8223435948361469,0.3054719367769067,0.23310143390847665
Ronald Weasley,0.6105263157894737,2926,0.12120341722238975,0.6973473684210526,0.2813209686601128,0.13153788208532805
Hermione Granger,0.4842105263157895,1556,0.05998202993470962,0.6316552250190695,0.249665681956269,0.06966961466244
Gilderoy Lockhart,0.47368421052631576,744,0.12134119551211284,0.6271109428246876,0.23577273015579803,0.041717453657745096
Tom Riddle,0.23157894736842105,368,0.0049759753449076195,0.5347755892799483,0.16237300153317294,0.0171884209621165
Rubeus Hagrid,0.28421052631578947,417,0.0393380909345731,0.5482290632240979,0.16452623307660563,0.022884370713194584
Ginevra Weasley,0.29473684210526313,479,0.020941567308679528,0.5482290632240979,0.18102112154172179,0.022498936411363593
Dobby,0.1368421052631579,231,0.0006801749326945295,0.4924769550996135,0.10868442187709992,0.011058752114422449
Fred Weasley,0.3368421052631579,507,0.030239419718309235,0.5697282421740626,0.18457443357573042,0.02517336986300942
George Weasley,0.3157894736842105,486,0.0185450782255355,0.5623769100169779,0.17885528387311858,0.024056951256566192
Draco Malfoy,0.3157894736842105,375,0.01141844290329382,0.5660287081339713,0.2015627304430591,0.01765700356312681
Albus Dumbledore,0.3157894736842105,351,0.015549297535382832,0.555212872946698,0.1877656226580492,0.017917726102172248
Severus Snape,0.24210526315789474,301,0.00416110236658949,0.5347755892799483,0.15997456912668817,0.014361375751358188
Myrtle Warren,0.10526315789473684,193,0.00751503193832421,0.4924769550996135,0.07690642486815813,0.010665992927627497
Salazar Slytherin,0.3368421052631579,209,0.013659237935686186,0.5734764542936288,0.20738771909742382,0.011020368547242986
Argus Filch,0.18947368421052632,169,0.002691755049801293,0.518859649122807,0.13635981340004405,0.008765250788741697
Minerva McGonagall,0.2631578947368421,219,0.009054310955092253,0.5482290632240979,0.1643665238530441,0.011180340820877056
Vernon Dursley,0.10526315789473684,114,0.0010996543583329697,0.47374141876430204,0.06418973996050246,0.0070512940858438004
Percy Weasley,0.28421052631578947,313,0.02135473372798061,0.5482290632240979,0.16199767835347065,0.017213494155508446
Sorting Hat,0.12631578947368421,101,0.0021317033719049396,0.4952751196172249,0.10069990691322117,0.006433931303935008
Oliver Wood,0.18947368421052632,136,0.016869335935273632,0.5038637055065409,0.10850517625410075,0.009756922088690187
Lucius Malfoy,0.15789473684210525,187,0.002176057830544417,0.5097568482610034,0.11428070076803407,0.009691322475954951
Molly Weasley,0.14736842105263157,134,0.0008730436243947126,0.5067931456548348,0.11537054349097164,0.0072419857547274865
Fawkes,0.09473684210526316,73,1.4930944382232178e-05,0.4842690058479532,0.08192156306528085,0.00458308846534345
Godric Gryffindor,0.24210526315789474,137,0.005988238009235367,0.5380766731643924,0.169495561920142,0.008042194649726345
Gregory Goyle,0.1368421052631579,179,0.0009972974642627498,0.5009679370840895,0.10593356848058667,0.009146501215031185
Vincent Crabbe,0.12631578947368421,130,0.0005394901521638891,0.4924769550996135,0.10121414007407976,0.007032646037484224
Fang,0.08421052631578947,103,0.0003904345001769413,0.4842690058479532,0.06413214649478814,0.0058997182651136446
Colin Creevey,0.19999999999999998,109,0.002104022407082869,0.5219665931295304,0.14716498260554992,0.006200612508769073
Justin Finch-Fletchley,0.16842105263157894,64,0.0029483070998781434,0.5127554179566564,0.1180644286284208,0.004669171736953256
Dudley Dursley,0.09473684210526316,66,0.0009486482162853944,0.4763301696865114,0.06713655489205061,0.004977232810363453
Hedwig,0.05263157894736842,52,5.999040153575428e-05,0.46366181410974244,0.04842616046029282,0.003656621918434892
Neville Longbottom,0.16842105263157894,79,0.021609914597036657,0.5067931456548348,0.10801947135867976,0.006525526522230611
Borgin,0.031578947368421054,35,0.0,0.45878116343490305,0.037523284244185544,0.0029622118229897373
Petunia Dursley,0.10526315789473684,73,0.0018633624680657159,0.48697441928844454,0.0716296028723575,0.005683084358666296
Poppy Pomfrey,0.12631578947368421,70,0.00041640858830108553,0.4952751196172249,0.10096430303340291,0.00445293834595073
Mrs Norris,0.12631578947368421,86,0.0007518198157813468,0.4952751196172249,0.10491460371379212,0.0052130989801743195
Peeves,0.08421052631578947,41,0.0015178404400128923,0.46614128905150576,0.04526786492411647,0.0038517910316899404
Marcus Flint,0.11578947368421053,55,0.001327009364573482,0.4952751196172249,0.09035267967336466,0.004186609828083598
Dean Thomas,0.09473684210526316,55,0.00019285803160383228,0.4897102306327617,0.08053490979698026,0.004285119013548499
Arthur Weasley,0.1368421052631579,42,0.0005750498723623025,0.4981052631578947,0.10652347423844925,0.0034636340484746403
Cuthbert Binns,0.07368421052631578,28,5.5991041433370664e-05,0.48159348647862754,0.0648481825863457,0.002707035436032683
Father Christmas,0.14736842105263157,58,0.0009380930423681231,0.4897102306327617,0.10926145996308556,0.004049504542113756
Seamus Finnigan,0.10526315789473684,44,0.00048747755914609227,0.4897102306327617,0.0831286385801116,0.0037863821890646962
Millicent Bulstrode,0.08421052631578947,28,0.00021285483211575033,0.4711806543385491,0.06057276151880153,0.002721690601845079
Helga Hufflepuff,0.1368421052631579,33,0.004140496988464843,0.48697441928844454,0.08350221188166997,0.004323037048397498
Errol,0.06315789473684211,26,0.0001797045806004373,0.4711806543385491,0.05791602062006274,0.0026286594053875905
Wagga Wagga Werewolf,0.021052631578947368,10,0.0,0.45878116343490305,0.024280065234880167,0.0020316440912140953
Cornelius Fudge,0.06315789473684211,25,0.0,0.46614128905150576,0.05013044583874639,0.0026709082269134026
Pomona Sprout,0.12631578947368421,32,0.0008379573021230356,0.4981052631578947,0.09462480376845071,0.003092442044908164
Mason,0.042105263157894736,19,0.0,0.4516498500136351,0.022807854882639,0.002690807457398294
Penelope Clearwater,0.05263157894736842,19,0.0,0.45878116343490305,0.040691617460622546,0.002755615307106115
Rowena Ravenclaw,0.11578947368421053,40,0.0007546768400223664,0.48159348647862754,0.0797427146472741,0.004206080183302076
Lee Jordan,0.11578947368421053,22,0.00035125360334503343,0.4842690058479532,0.09101602558647537,0.002624781781598343
Aragog,0.031578947368421054,13,0.0,0.45878116343490305,0.0337039214972356,0.0021051086536482875
Filius Flitwick,0.12631578947368421,23,0.021058186245756234,0.4952751196172249,0.09094772383688433,0.004089028079962154
Rolanda Hooch,0.06315789473684211,14,0.0003490723535516369,0.46366181410974244,0.04428708732603667,0.0023526790666526815
Hannah Abbott,0.021052631578947368,6,0.0,0.4516498500136351,0.026323376779371053,0.0018018902875473189
Perkins,0.021052631578947368,7,0.0,0.4516498500136351,0.026323376779371053,0.0018340078554482048
Chudley Cannons,0.031578947368421054,8,0.0,0.45878116343490305,0.037523284244185544,0.0018720638290087481
Patrick Delaney-Podmore,0.010526315789473684,4,0.0,0.44473684210526315,0.013703401442482126,0.0017234467099631983
Veronica Smethley,0.021052631578947368,5,0.0,0.45878116343490305,0.024280065234880167,0.0017711030892657866
Olive Hornby,0.021052631578947368,5,0.0,0.35578947368421054,0.011570465335055097,0.0017903114519415002
Irma Pince,0.042105263157894736,10,0.0,0.4612085769980506,0.04656528056424681,0.0019498374587160004
Charles Weasley,0.042105263157894736,9,0.0,0.4540021929824561,0.032131962901553804,0.0023122388502182247
William Weasley,0.08421052631578947,14,0.0003620754012691303,0.4711806543385491,0.06423429598199602,0.0027082820474456835
Angelina Johnson,0.06315789473684211,13,0.0036973715267305945,0.4612085769980506,0.036896159752554614,0.003239509261344472
Armando Dippet,0.042105263157894736,9,0.0,0.45878116343490305,0.0367909610107543,0.001949063234255308
Alicia Spinnet,0.06315789473684211,9,0.0036973715267305945,0.4612085769980506,0.036896159752554614,0.0026115452921778655
Bandon Banshee,0.010526315789473684,3,0.0,0.3806481268673868,0.010576663792398048,0.0017054691379077653
Ernest Macmillan,0.042105263157894736,8,0.020156774916013438,0.4540021929824561,0.01951922782039068,0.0037654535637833106
Merlin,0.021052631578947368,3,0.0,0.40355750487329434,0.021776571257212544,0.0016958687321657205
Ogden,0.010526315789473684,2,0.0,0.3806481268673868,0.010576663792398048,0.001657812758605177
Blood-Sucking Bugbear,0.010526315789473684,2,0.0,0.3500739801310505,0.007380544717864549,0.0016557839442117635
Mafalda Hopkirk,0.010526315789473684,2,0.0,0.44473684210526315,0.013703401442482126,0.001642973354981599
Katie Bell,0.031578947368421054,4,0.0,0.3339786247227263,0.00817774680889114,0.0022938665576839857
Parvati Patil,0.021052631578947368,3,0.0,0.40924141339263653,0.021043041282729425,0.0016823007316746185
Mosag,0.021052631578947368,3,0.0,0.4516498500136351,0.021083946160346673,0.001696020621702563
Peter Pettigrew,0.042105263157894736,5,0.0,0.45878116343490305,0.04263250570729535,0.001765919540551352
Lavender Brown,0.010526315789473684,1,0.0,0.3327038971474488,0.004845677039975813,0.0016327067664480117
Martin Miggs,0.010526315789473684,1,0.0,0.4054345165238678,0.012619975336888929,0.0016007069000933212
Adrian Pucey,0.042105263157894736,4,0.0,0.4540021929824561,0.03419769983558478,0.0017556978408117398
Demetrius Prod,0.010526315789473684,1,0.0,0.010526315789473684,2.2057279506252332e-14,0.010416666666666666
Z. Nettles,0.010526315789473684,1,0.0,0.010526315789473684,2.2057279506252332e-14,0.010416666666666666
Fawcett,0.010526315789473684,1,0.0,0.30910787607316165,0.0008756117558132995,0.001962722033879833
Angus Fleet,0.010526315789473684,1,0.0,0.010526315789473684,2.2057279506252332e-14,0.010416666666666666
Hetty Bayliss,0.010526315789473684,1,0.0,0.010526315789473684,2.2057279506252332e-14,0.010416666666666666
Aurora Sinistra,0.010526315789473684,1,0.0,0.32770083102493075,0.00407983558128972,0.0017136204891678715
Bloody Baron,0.010526315789473684,1,0.0,0.44473684210526315,0.013703401442482126,0.0016027366774907996
Gladys Gudgeon,0.021052631578947368,2,0.0,0.45878116343490305,0.024280065234880167,0.0016503930567933881
Helena Ravenclaw,0.021052631578947368,2,0.0,0.44701754385964915,0.018220715157632336,0.0016568769858630434
Skower,0.010526315789473684,1,0.0,0.44473684210526315,0.013703401442482126,0.0016027366774907996
Hermes,0.021052631578947368,2,0.0,0.3677992449478125,0.015547059335901395,0.001651457215381194
Terry Boot,0.010526315789473684,1,0.0,0.3806481268673868,0.010576663792398048,0.0016101563793025884
Fluffy,0.021052631578947368,2,0.0,0.39802931987503,0.018580452182679046,0.0016471979456664254
Miranda Goshawk,0.010526315789473684,1,0.0,0.3806481268673868,0.010576663792398048,0.0016101563793025884
