,Degree Centrality,Weighted Degree Centrality,Betweenness Centrality,Closeness Centrality,Eigenvector Centrality,PageRank
Harry Potter,0.7747747747747747,13703,0.3848742951007233,0.8104759034127064,0.2805746167236575,0.2109743959122123
Ronald Weasley,0.5495495495495496,5396,0.1274626335802999,0.6855912516289874,0.2519220084186416,0.08024869831332078
Hermione Granger,0.5315315315315315,5463,0.12738996265079447,0.6749783839567121,0.24338951253106655,0.08103889875422257
Sirius Black,0.2747747747747748,1842,0.02325225723935731,0.5707277958586859,0.15860307932781562,0.02777613829325744
Dolores Umbridge,0.3018018018018018,1907,0.019313280496164927,0.5752454301266966,0.18170164002581365,0.028139241403950983
Albus Dumbledore,0.3153153153153153,1772,0.03641221535335067,0.5860699409086506,0.17602497260900252,0.027207249908701076
Cho Chang,0.18468468468468469,1040,0.004419525779629133,0.5190905190905191,0.12304214735254451,0.015172571352188649
Severus Snape,0.17117117117117117,1037,0.0036267427618514145,0.524081774081774,0.12335321314631688,0.014930581180430981
Fred Weasley,0.28378378378378377,1467,0.026705793936004533,0.5677552552552552,0.17623774655902033,0.022882597849214
George Weasley,0.25675675675675674,1451,0.025390659766650517,0.5575908389207622,0.1628275224762636,0.022136359819697884
Neville Longbottom,0.22072072072072071,1108,0.007423822791054436,0.5396485594505397,0.14716939864536574,0.016487930240825316
Rubeus Hagrid,0.21171171171171171,1187,0.03892678219111047,0.5330513887971101,0.12411283048157512,0.019842333234565017
Tom Riddle,0.24324324324324323,892,0.020399760049257563,0.5604576298663703,0.14865175516253995,0.013774948121000871
Molly Weasley,0.16666666666666666,823,0.017933181410131102,0.5291699466456747,0.10921844490784412,0.013441987314894996
Dobby,0.10810810810810811,337,0.0015521905517285298,0.5011908460184322,0.08952370135905507,0.00549090788848253
Ginevra Weasley,0.27927927927927926,1133,0.026189784143345305,0.5707277958586859,0.17764876910451355,0.01721456864551131
Draco Malfoy,0.22522522522522523,679,0.007486024304356978,0.545045045045045,0.15649170831270282,0.010948682797768708
Godric Gryffindor,0.21171171171171171,581,0.007465352516761858,0.5330513887971101,0.1399349486552349,0.00949232439745506
Minerva McGonagall,0.27927927927927926,565,0.016961370471029157,0.5633540517261447,0.16561543177535856,0.009920279511084902
Luna Lovegood,0.17567567567567569,556,0.005039251864628646,0.521574205784732,0.12031635246176689,0.008615744179106167
Remus Lupin,0.17117117117117117,516,0.009291722721905975,0.5330513887971101,0.12131559275546903,0.008375127319272105
Dudley Dursley,0.07657657657657657,233,0.010281377612715841,0.48992813037756855,0.05170834985671889,0.004914159170123943
Cornelius Fudge,0.18018018018018017,569,0.010192105202210533,0.5278886634818838,0.11343918654046725,0.009941867930981422
Hedwig,0.0945945945945946,213,0.0005009514156562238,0.49889706640278725,0.0839168015700252,0.0036088821130539407
Rita Skeeter,0.02252252252252252,168,2.264708147061088e-06,0.46288326543103614,0.026468089144149103,0.002809051761068667
Kreacher,0.11711711711711711,379,0.024534526129887786,0.5105808384496909,0.08372317936400236,0.007459313228634909
Nymphadora Tonks,0.13963963963963963,330,0.006589793875500398,0.5190905190905191,0.10515791638855497,0.005794671313908908
Alastor Moody,0.16216216216216217,302,0.013743100840522538,0.5278886634818838,0.11090162064048198,0.006145749794323567
Bellatrix Lestrange,0.11261261261261261,201,0.005685764358210283,0.5046713380046713,0.08087816873891553,0.0042248328543507685
Seamus Finnigan,0.05855855855855856,205,0.00011512130445676709,0.48021589871810133,0.058151497322551135,0.0034142220678422736
Angelina Johnson,0.17567567567567569,287,0.006092563797481188,0.521574205784732,0.11888337515837213,0.005738278418458936
Prime Minister,0.11711711711711711,216,0.010789705234344391,0.5035058152841063,0.07667793148401392,0.004586073093203562
Percy Weasley,0.10810810810810811,204,0.001958231917448436,0.5058422691833365,0.08243287534228293,0.0037554224341224303
Arthur Weasley,0.13513513513513514,244,0.009482328864629528,0.5105808384496909,0.0934369723877284,0.005311225233247957
Gregory Goyle,0.0990990990990991,243,0.002165298604741435,0.493253434429905,0.0726872681474831,0.004812940509389032
Vincent Crabbe,0.14414414414414414,262,0.005654942019032582,0.5046713380046713,0.09674980379730386,0.005174949653176003
James Potter I,0.036036036036036036,180,7.679023516127588e-05,0.46684800432123774,0.031745855530168544,0.0033269803453399483
Marietta Edgecombe,0.05855855855855856,193,0.00016617577474408872,0.4708812484190454,0.049448378303753114,0.003288904352279433
Mundungus Fletcher,0.0945945945945946,245,0.009606564068633505,0.5070186465535302,0.07910444480456057,0.0046951990437095
Vernon Dursley,0.04504504504504504,162,0.00020387683154028086,0.47190047190047185,0.03556122496717879,0.003135561767898527
